Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2019-03-18,160.47,0.9672,0.03,0.906,0.063,163.57,163.9,159.28,35094650
2019-03-19,161.57,0.9414,0.053,0.868,0.079,161.48,163.82,160.82,24608800
2019-03-20,165.44,0.924,0.045,0.878,0.077,161.5,166.12,161.24,19934930
2019-03-21,166.08,0.9958,0.04,0.852,0.107,164.89,166.39,163.75,16049850
2019-03-22,164.34,0.9111,0.071,0.842,0.088,165.65,167.42,164.09,16375210
2019-03-25,166.29,0.998,0.056,0.82,0.124,163.0,166.54,162.0,12306150
2019-03-26,167.68,-0.9155,0.14,0.739,0.12,167.35,169.45,166.3499,15274610
2019-03-27,165.87,0.9769,0.066,0.822,0.112,167.85,168.94,164.79,10603100
2019-03-28,165.55,0.9922,0.082,0.779,0.139,164.57,166.72,163.33,10457910
2019-03-29,166.69,0.9101,0.044,0.885,0.071,166.39,167.19,164.81,13450640
2019-04-01,168.7,-0.9954,0.145,0.749,0.106,167.83,168.9,167.2789,10122200
2019-04-02,174.2,0.9781,0.049,0.856,0.094,170.14,174.9,169.55,23926430
2019-04-03,173.54,0.9606,0.034,0.876,0.091,174.5,177.96,172.95,27380570
2019-04-04,176.02,-0.9409,0.11,0.824,0.066,176.02,178.0,175.5301,17768670
2019-04-05,175.72,0.7964,0.032,0.884,0.084,176.88,177.0,175.1,9499559
2019-04-08,174.93,0.8442,0.033,0.868,0.098,175.21,175.5,174.23,7287902
2019-04-09,177.58,0.9757,0.046,0.861,0.093,175.62,179.19,175.55,19599420
2019-04-11,177.51,-0.9922,0.126,0.799,0.075,178.24,178.4,177.0,8048582
2019-04-11,177.51,-0.9922,0.126,0.799,0.075,178.24,178.4,177.0,8048582
2019-04-12,179.1,0.9169,0.064,0.826,0.11,178.0,179.63,177.95,12321770
2019-04-15,179.65,0.926,0.044,0.875,0.081,178.5,180.5,176.87,10827980
2019-04-16,178.87,0.9764,0.12,0.744,0.137,179.0,180.17,178.3,11185690
2019-04-17,178.78,0.9941,0.063,0.833,0.104,179.6,180.74,178.36,9520718
2019-04-18,178.28,0.8971,0.055,0.856,0.089,178.8,178.88,177.34,11639990
2019-04-22,181.44,0.9299,0.056,0.847,0.097,178.25,181.665,178.25,13348950
2019-04-23,183.78,0.9504,0.048,0.875,0.077,182.74,184.22,181.48,19631900
2019-04-24,182.58,0.8442,0.052,0.878,0.07,184.49,185.14,181.65,34957090
2019-04-25,193.26,0.9689,0.056,0.845,0.1,196.98,198.48,192.12,54088650
2019-04-26,191.49,0.9541,0.033,0.882,0.085,192.5,192.9,189.09,21947170
2019-04-29,194.78,0.986,0.021,0.895,0.084,190.95,195.41,190.65,19538750
2019-04-30,193.4,0.999,0.065,0.775,0.16,194.19,197.39,192.28,23309400
2019-05-01,193.03,-0.9367,0.172,0.709,0.119,194.78,196.1769,193.01,15996650
2019-05-02,192.53,0.5007,0.081,0.835,0.084,193.0,194.0,189.75,13209450
2019-05-03,195.47,0.9882,0.033,0.84,0.127,194.38,196.16,193.71,14575430
2019-05-06,193.88,0.9176,0.067,0.85,0.084,191.24,194.28,190.55,13994930
2019-05-07,189.77,-0.9171,0.138,0.754,0.107,192.54,192.9,187.85,16253000
2019-05-08,189.54,-0.9963,0.125,0.838,0.037,189.39,190.72,188.55,12505740
2019-05-09,188.65,0.9828,0.046,0.851,0.103,187.2,189.77,186.26,12967030
2019-05-13,181.54,0.9984,0.099,0.741,0.16,183.5,185.43,180.84,16833350
2019-05-14,180.73,-0.9326,0.124,0.77,0.106,182.52,183.49,178.1,17628140
2019-05-15,186.27,-0.7692,0.097,0.823,0.081,180.42,187.28,180.02,16746900
2019-05-16,186.99,0.9354,0.031,0.901,0.068,185.05,188.575,185.05,12953110
2019-05-17,185.3,-0.9126,0.101,0.842,0.057,184.84,187.58,184.28,10485370
2019-05-20,182.72,-0.9667,0.118,0.81,0.072,181.88,184.23,181.37,10351980
2019-05-21,184.82,0.9515,0.064,0.839,0.097,184.57,185.7,183.885,7502820
2019-05-22,185.32,-0.9866,0.114,0.813,0.074,184.73,186.74,183.61,9213801
2019-05-23,180.87,0.8087,0.085,0.796,0.119,182.42,183.9,179.67,12768840
2019-05-24,181.06,-0.782,0.084,0.85,0.066,182.33,183.63,180.83,8807701
2019-05-28,184.31,0.6998,0.102,0.791,0.107,181.54,184.7119,181.4537,14843310
2019-05-29,182.19,0.168,0.07,0.851,0.079,183.5,184.56,181.35,12797690
2019-05-30,183.01,0.7902,0.062,0.864,0.073,183.08,183.48,180.89,8581544
2019-05-31,177.47,-0.7066,0.083,0.846,0.072,180.28,180.54,177.16,15226540
2019-06-03,164.15,0.9272,0.057,0.857,0.086,175.0,175.05,161.01,56059610
2019-06-04,167.5,0.9337,0.0,0.796,0.204,163.71,168.28,160.84,46044260
2019-06-05,168.17,-0.9214,0.075,0.868,0.057,167.48,168.72,164.63,19758320
2019-06-06,168.33,-0.9596,0.102,0.845,0.053,168.3,169.7,167.23,12446350
2019-06-07,173.35,0.5719,0.0,0.868,0.132,170.17,173.87,168.84,16917340
2019-06-11,178.1,0.9869,0.024,0.88,0.096,178.48,179.98,176.79,15266640
2019-06-11,178.1,0.9869,0.024,0.88,0.096,178.48,179.98,176.79,15266640
2019-06-12,175.04,0.9746,0.034,0.849,0.117,178.38,179.27,172.88,17699810
2019-06-13,177.47,-0.9115,0.087,0.865,0.049,175.53,178.03,174.606,12253570
2019-06-14,181.33,-0.9614,0.097,0.864,0.039,180.51,181.8398,180.0,16773690
2019-06-17,189.01,0.8299,0.084,0.82,0.096,185.01,189.5,184.4105,29459880
2019-06-18,188.47,0.7509,0.08,0.828,0.092,194.0,194.53,187.28,37571350
2019-06-19,187.48,0.9909,0.028,0.871,0.1,187.0,188.1,184.55,21417090
2019-06-20,189.53,-0.9795,0.094,0.85,0.056,190.95,191.16,187.64,14635740
2019-06-21,191.14,0.7394,0.068,0.853,0.08,188.75,192.0,188.75,22751160
2019-06-24,192.6,0.9812,0.023,0.884,0.093,192.42,193.98,191.57,15508960
2019-06-25,188.84,0.9706,0.05,0.82,0.131,192.88,193.14,188.13,16750310
2019-06-26,187.66,0.9564,0.022,0.914,0.064,189.54,190.76,187.31,12808600
2019-06-27,189.5,-0.0258,0.075,0.865,0.06,189.88,189.95,188.27,11158980
2019-06-28,193.0,0.9032,0.014,0.951,0.035,190.55,193.2,189.94,16378880
2019-07-01,193.0,0.8988,0.079,0.831,0.089,195.21,195.28,191.93,14204690
2019-07-02,195.0,0.4964,0.049,0.896,0.055,193.0,195.0,192.71,9049979
2019-07-03,197.2,0.9153,0.034,0.891,0.075,194.16,197.4,194.16,10246120
2019-07-05,196.4,0.9898,0.062,0.807,0.131,196.18,197.07,194.17,11164110
2019-07-08,195.76,0.9915,0.033,0.84,0.127,195.19,196.68,193.64,9723858
2019-07-09,199.21,-0.2846,0.034,0.94,0.026,194.97,199.46,194.89,14698610
2019-07-11,201.23,0.9849,0.054,0.843,0.104,203.26,203.8,200.21,13678460
2019-07-11,201.23,0.9849,0.054,0.843,0.104,203.26,203.8,200.21,13678460
2019-07-12,204.87,-0.0276,0.065,0.861,0.073,199.68,205.3,199.16,15366270
2019-07-15,203.91,0.9828,0.042,0.831,0.127,204.25,205.33,201.82,16030340
2019-07-16,203.84,0.8992,0.077,0.828,0.095,203.89,205.4707,203.1,12132720
2019-07-17,201.8,0.931,0.034,0.894,0.072,204.18,204.36,201.59,12083710
2019-07-18,200.78,0.9513,0.057,0.832,0.111,200.15,202.47,199.38,11956550
2019-07-19,198.36,0.8728,0.065,0.831,0.104,202.18,202.33,198.07,12098260
2019-07-22,202.32,0.9431,0.036,0.864,0.1,199.91,202.57,198.81,13589020
2019-07-23,202.36,0.9953,0.035,0.85,0.115,202.84,204.242,200.9625,14583680
2019-07-24,204.66,0.8611,0.069,0.835,0.096,197.63,204.81,197.22,32532540
2019-07-25,200.71,0.9453,0.039,0.899,0.063,206.7,208.66,198.26,39889870
2019-07-26,199.75,0.9941,0.037,0.866,0.096,200.19,202.88,196.25,24433990
2019-07-29,195.94,0.6243,0.042,0.91,0.049,199.0,199.63,195.3,16530800
2019-07-30,197.04,0.999,0.033,0.829,0.139,195.39,198.71,193.5,11903560
2019-07-31,194.23,0.9991,0.037,0.824,0.138,196.95,198.76,192.68,14593540
2019-08-01,192.73,0.9967,0.076,0.802,0.123,194.17,198.47,190.88,17777010
2019-08-02,189.02,0.9541,0.077,0.782,0.141,191.1,192.62,188.07,15296980
2019-08-05,181.73,0.9711,0.036,0.865,0.099,184.69,185.67,179.34,23086660
2019-08-06,184.51,0.5028,0.063,0.832,0.105,183.69,185.789,183.09,18035690
2019-08-07,185.15,0.9465,0.092,0.805,0.103,183.6,186.37,181.22,15833200
2019-08-08,190.16,-0.9952,0.112,0.829,0.059,186.62,190.34,184.05,14828920
2019-08-09,187.85,0.8105,0.05,0.827,0.123,190.0,190.98,187.12,11058810
2019-08-12,185.37,0.4019,0.034,0.879,0.087,186.85,187.59,184.46,10936280
2019-08-13,188.45,0.9833,0.062,0.847,0.091,185.52,191.38,185.37,13653320
2019-08-14,179.71,0.8872,0.071,0.85,0.08,185.8,185.99,179.31,18903720
2019-08-15,182.59,0.9777,0.045,0.829,0.126,180.95,183.2,180.03,13059640
2019-08-16,183.7,0.6072,0.054,0.881,0.065,183.75,185.1,182.36,12844830
2019-08-19,186.17,0.9195,0.063,0.848,0.088,186.01,187.5,184.85,9699661
2019-08-20,183.81,0.9944,0.027,0.863,0.11,185.45,186.0,182.39,10087590
2019-08-21,183.55,0.9961,0.029,0.827,0.145,185.0,185.9,183.14,8409548
2019-08-22,182.04,0.9456,0.044,0.871,0.085,183.43,184.11,179.91,10829510
2019-08-23,177.75,-0.9112,0.096,0.831,0.073,180.84,183.13,176.66,17331220
2019-08-26,180.36,0.5162,0.083,0.816,0.101,179.4,180.5,178.24,8780477
2019-08-27,181.3,0.9801,0.03,0.852,0.118,181.93,184.04,181.01,14408950
2019-08-28,181.76,0.949,0.064,0.845,0.091,180.53,181.95,178.92,9392060
2019-08-29,185.57,0.9963,0.035,0.856,0.109,183.77,186.0752,183.47,10135030
2019-08-30,185.67,0.9337,0.074,0.81,0.116,186.78,186.8017,183.4585,10785720
2019-09-03,182.39,0.9169,0.022,0.818,0.161,184.0,185.67,182.11,9792187
2019-09-04,187.14,0.993,0.049,0.82,0.131,184.65,187.7494,183.89,11314570
2019-09-05,190.9,-0.7599,0.076,0.856,0.068,188.53,191.36,187.94,13896620
2019-09-06,187.49,0.6597,0.109,0.751,0.14,190.21,190.21,186.35,15226820
2019-09-09,188.76,-0.168,0.044,0.893,0.063,187.73,188.98,185.8466,14722400
2019-09-11,188.49,0.9648,0.024,0.798,0.178,186.46,189.44,186.08,11761660
2019-09-11,188.49,0.9648,0.024,0.798,0.178,186.46,189.44,186.08,11761660
2019-09-12,187.47,0.8439,0.06,0.875,0.065,189.86,190.93,187.23,11419780
2019-09-13,187.19,-0.5529,0.089,0.847,0.063,187.325,187.97,186.54,11441120
2019-09-16,186.22,0.6545,0.057,0.874,0.069,186.93,187.7943,185.765,8444844
2019-09-17,188.08,0.9911,0.058,0.834,0.108,186.66,188.32,185.54,9751570
2019-09-18,188.14,-0.9825,0.107,0.828,0.065,188.09,189.08,186.012,9945798
2019-09-19,190.14,0.9917,0.034,0.873,0.093,188.66,191.1,188.15,10474690
2019-09-20,189.93,0.9801,0.036,0.881,0.082,190.66,193.1,188.12,20359880
2019-09-23,186.82,0.989,0.045,0.869,0.086,189.34,190.1,185.2062,14370090
2019-09-24,181.28,0.9962,0.036,0.837,0.128,187.98,188.04,180.39,18775670
2019-09-25,182.8,0.965,0.038,0.85,0.113,181.45,183.42,177.87,18339960
2019-09-26,180.11,-0.7987,0.12,0.787,0.093,181.33,181.4,177.67,16280690
2019-09-27,177.1,0.2344,0.057,0.891,0.053,180.49,180.755,175.66,14663580
2019-09-30,178.08,0.9912,0.066,0.806,0.127,177.87,178.67,176.85,11071430
2019-10-01,175.81,0.9365,0.091,0.796,0.112,179.15,179.84,174.88,17261560
2019-10-02,174.6,0.399,0.035,0.911,0.054,174.84,176.53,173.09,16374150
2019-10-03,179.38,0.2617,0.029,0.924,0.047,175.57,179.84,173.63,16789320
2019-10-04,180.45,0.9842,0.033,0.873,0.094,179.55,180.98,178.1,10476400
2019-10-07,179.68,0.976,0.018,0.904,0.078,180.0,181.18,178.09,9359793
2019-10-08,177.75,-0.6022,0.109,0.8,0.091,178.26,180.37,177.72,10084900
2019-10-09,179.85,0.9634,0.037,0.906,0.057,179.16,180.72,177.94,7648874
2019-10-11,184.19,0.9791,0.037,0.809,0.154,182.15,186.49,182.14,14998750
2019-10-11,184.19,0.9791,0.037,0.809,0.154,182.15,186.49,182.14,14998750
2019-11-01,193.62,-0.8555,0.068,0.883,0.049,192.85,194.11,189.91,21711830
2019-11-04,194.72,0.9958,0.046,0.795,0.159,194.55,197.3672,193.8119,16371290
2019-11-05,194.32,-0.7655,0.231,0.674,0.096,195.37,195.75,193.6,9941954
2019-11-06,191.55,0.3825,0.064,0.861,0.075,194.03,194.37,191.35,10973020
2019-11-07,190.42,0.9624,0.028,0.908,0.064,191.91,193.44,189.47,13473000
2019-11-08,190.84,0.9246,0.031,0.853,0.116,190.0,192.34,189.7,10764780
2019-11-11,189.61,0.8435,0.085,0.814,0.101,189.93,190.08,188.54,8637768
2019-11-11,189.61,0.8435,0.085,0.814,0.101,189.93,190.08,188.54,8637768
2019-11-12,194.47,0.9598,0.056,0.852,0.093,190.0,195.06,189.74,17615450
2019-11-13,193.19,0.9989,0.053,0.796,0.151,194.7,195.7,192.74,11009800
2019-11-13,193.19,0.9989,0.054,0.794,0.152,194.7,195.7,192.74,11009800
2019-11-14,193.15,0.9616,0.039,0.894,0.067,192.93,194.03,191.45,9059897
2019-11-14,193.15,0.9616,0.039,0.894,0.067,192.93,194.03,191.45,9059897
2019-11-15,195.1,0.932,0.046,0.893,0.062,194.26,195.3,193.38,11530230
2019-11-15,195.1,0.932,0.046,0.893,0.062,194.26,195.3,193.38,11530230
2019-11-18,197.4,0.9742,0.055,0.856,0.089,194.56,198.63,193.05,16176110
